nome	kg/m	A (cmý)
U100X40X1.80	2.45	3.06
U100X40X2.00	2.73	3.41
U100X40X2.25	3.05	3.82
U100X40X2.65	3.61	4.51
U100X40X3.00	4.08	5.1
U127X50X1.8	2.88	3.6
U127X50X2	3.21	4.01
U127X50X2.25	3.59	4.49
U127X50X2.65	4.25	5.31
U127X50X3	4.8	6
U150X80X1.8	4.32	5.4
U150X80X2	4.81	6.01
U150X80X2.25	5.39	6.74
U150X80X2.65	6.37	7.96
U150X80X3	7.2	9
U200X75X1.8	4.9	6.12
U200X75X2	5.45	6.81
U200X75X2.25	6.11	7.64
U200X75X2.65	7.21	9.02
U200X75X3	8.16	10.2
U250X80X1.8	5.76	7.2
U250X80X2	6.41	8.01
U250X80X2.25	7.19	8.99
U250X80X2.65	8.49	10.61
U250X80X3	9.6	12
U350X130X1.8	8.64	10.8
U350X130X2	9.61	12.01
U350X130X2.25	10.79	13.49
U350X130X2.65	12.73	15.91
U350X130X3	12.4	18
