VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                   1    20       9     9    59    99.0365        15    25.7136    
                   2    25      27    61    50    31.1445        15    25.7136    
                   3    45      58    13    60    43.7330        15    25.7136    
                   4    51      18    56    26    33.8503        28    22.7738    
                   5    20      35    50    37    37.1050        28    22.7738    
                   6     8      31    37    46    62.4973        28    22.7738    
                   7    15       4    35    12    107.584        28    22.7738    
                   8    54      14     1    22    123.861        28    22.7738    
                   9     9      17    23    59    68.2754        28    22.7738    
                  10    24      27    22    15    62.7277        28    22.7738    
                  11    52      18    55     9    61.8376        35    16.1449    
                  12    28       2     9    24    127.177        35    16.1449    
                  13     2      34    34    36    92.0884        35    16.1449    
                  14    57      54    17    47    31.9161        35    16.1449    
                  15    46      38    52    31    25.7136        35    16.1449    
                  16    55      44     1    34    102.453        35    16.1449    
                  17    48      23    37    25    33.3628        35    16.1449    
                  18    44      50    53    13    37.2083        42    15.7406    
                  19    57      17    41     1    86.5764        42    15.7406    
                  20    12       3    22    27    116.087        42    15.7406    
                  21    55      38     5     2    132.125        42    15.7406    
                  22    31      20    51    22    41.0219        42    15.7406    
                  23    12      26    53    25    51.9247        42    15.7406    
                  24    52      39    38    21    30.9210        42    15.7406    
                  25    24      54    56    22    28.2159        42    15.7406    
                  26    42      34     9    24    72.5045        42    15.7406    
                  27     8      34    23    21    80.0004        42    15.7406    
                  28    56      17    61    59    22.7738        42    15.7406    
                  29    21      17    23    22    58.6733        42    15.7406    
                  30    24      51     1    20    114.272        42    15.7406    
                  31    25      35    37    26    34.4206        42    15.7406    
                  32    57      50     9    59    53.4582        42    15.7406    
                  33    21      18    23    21    66.3298        42    15.7406    
                  34    51      18    61    21    41.2408        42    15.7406    
                  35    56      58    50    31    16.1449        42    15.7406    
                  36    24      14    56    25    44.5229        42    15.7406    
                  37    57      40    61    30    19.1284        42    15.7406    
                  38    21      18    22    15    73.0442        42    15.7406    
                  39    55      28    55    26    26.7432        42    15.7406    
                  40    24      38    61    22    31.7271        42    15.7406    
                  41    27      23    56    59    32.5314        64    14.2432    
